"MCQ240g.Code.or.Value","MCQ240g.Value.Description","MCQ240g.Count","MCQ240g.Cumulative","MCQ240g.Skip.to.Item"
"13 to 79","Range of Values",36,36,NA
"80","80 years or older",4,40,NA
"77777","Refused",0,40,NA
"99999","Don't know",0,40,NA
".","Missing",9324,9364,NA
