"CVDS2SY.Code.or.Value","CVDS2SY.Value.Description","CVDS2SY.Count","CVDS2SY.Cumulative","CVDS2SY.Skip.to.Item"
"82 to 273","Range of Values",2332,2332,NA
".","Missing",2270,4602,NA
