"MSXARML.Code.or.Value","MSXARML.Value.Description","MSXARML.Count","MSXARML.Cumulative","MSXARML.Skip.to.Item"
"2 to 90","Range of Values",1500,1500,NA
".","Missing",656,2156,NA
