"MPQ120n.Code.or.Value","MPQ120n.Value.Description","MPQ120n.Count","MPQ120n.Cumulative","MPQ120n.Skip.to.Item"
"23","Lower back - left",322,322,NA
".","Missing",4558,4880,NA
