"DR2TP183.Code.or.Value","DR2TP183.Value.Description","DR2TP183.Count","DR2TP183.Cumulative","DR2TP183.Skip.to.Item"
"0 to 11.551","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
