"DUQ400Q.Code.or.Value","DUQ400Q.Value.Description","DUQ400Q.Count","DUQ400Q.Cumulative","DUQ400Q.Skip.to.Item"
"0 to 630","Range of Values",91,91,NA
"7777","Refused",0,91,NA
"9999","Don't know",0,91,NA
".","Missing",4752,4843,NA
