"LBXIN.Code.or.Value","LBXIN.Value.Description","LBXIN.Count","LBXIN.Cumulative","LBXIN.Skip.to.Item"
"1 to 293.58","Range of Values",3080,3080,NA
".","Missing",272,3352,NA
