"DS1TSUGR.Code.or.Value","DS1TSUGR.Value.Description","DS1TSUGR.Count","DS1TSUGR.Cumulative","DS1TSUGR.Skip.to.Item"
"0.2 to 24","Range of Values",596,596,NA
".","Missing",8948,9544,NA
