"DSQTFDFE.Code.or.Value","DSQTFDFE.Value.Description","DSQTFDFE.Count","DSQTFDFE.Cumulative","DSQTFDFE.Skip.to.Item"
"1 to 20400","Range of Values",2451,2451,NA
".","Missing",7305,9756,NA
