"LBCBR2.Code.or.Value","LBCBR2.Value.Description","LBCBR2.Count","LBCBR2.Cumulative","LBCBR2.Skip.to.Item"
"1.8 to 62.4","Range of Values",247,247,NA
".","Missing",0,247,NA
