"SPXBFEV7.Code.or.Value","SPXBFEV7.Value.Description","SPXBFEV7.Count","SPXBFEV7.Cumulative","SPXBFEV7.Skip.to.Item"
"611 to 4757","Range of Values",611,611,NA
".","Missing",7132,7743,NA
