"BIXS031K.Code.or.Value","BIXS031K.Value.Description","BIXS031K.Count","BIXS031K.Cumulative","BIXS031K.Skip.to.Item"
"333.69 to 942.98","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
