"OSD030bc.Code.or.Value","OSD030bc.Value.Description","OSD030bc.Count","OSD030bc.Cumulative","OSD030bc.Skip.to.Item"
"8 to 59","Range of Values",31,31,NA
"80","80 or older",1,32,NA
"77777","Refused",0,32,NA
"99999","Don't know",1,33,NA
".","Missing",5902,5935,NA
