"SXQ590.Code.or.Value","SXQ590.Value.Description","SXQ590.Count","SXQ590.Cumulative","SXQ590.Skip.to.Item"
"0 to 26","Range of Values",2272,2272,NA
"77777","Refused",4,2276,NA
"99999","Don't know",5,2281,NA
".","Missing",1004,3285,NA
