"TYXP161.Code.or.Value","TYXP161.Value.Description","TYXP161.Count","TYXP161.Cumulative","TYXP161.Skip.to.Item"
"-292 to 8","Range of Values",4262,4262,NA
".","Missing",4207,8469,NA
