"LBXBSE.Code.or.Value","LBXBSE.Value.Description","LBXBSE.Count","LBXBSE.Cumulative","LBXBSE.Skip.to.Item"
"86.09 to 734.8","Range of Values",5215,5215,NA
".","Missing",717,5932,NA
