"URXMU6.Code.or.Value","URXMU6.Value.Description","URXMU6.Count","URXMU6.Cumulative","URXMU6.Skip.to.Item"
"0.021 to 51.1","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
