"DS1IPOTA.Code.or.Value","DS1IPOTA.Value.Description","DS1IPOTA.Count","DS1IPOTA.Cumulative","DS1IPOTA.Skip.to.Item"
"0.025 to 3120","Range of Values",1076,1076,NA
".","Missing",4647,5723,NA
