"ORXH52.Code.or.Value","ORXH52.Value.Description","ORXH52.Count","ORXH52.Cumulative","ORXH52.Skip.to.Item"
"1","Positive",12,12,NA
"2","Negative",4835,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
