"DXXL1BMD.Code.or.Value","DXXL1BMD.Value.Description","DXXL1BMD.Count","DXXL1BMD.Cumulative","DXXL1BMD.Skip.to.Item"
"0.292 to 1.719","Range of Values",6389,6389,NA
".","Missing",1345,7734,NA
