"DXDSTFAT.Code.or.Value","DXDSTFAT.Value.Description","DXDSTFAT.Count","DXDSTFAT.Cumulative","DXDSTFAT.Skip.to.Item"
"2641.9 to 90439.9","Range of Values",5110,5110,NA
".","Missing",923,6033,NA
