"TYXP141.Code.or.Value","TYXP141.Value.Description","TYXP141.Count","TYXP141.Cumulative","TYXP141.Skip.to.Item"
"-291 to 25","Range of Values",7038,7038,NA
".","Missing",1431,8469,NA
