"SXQ827.Code.or.Value","SXQ827.Value.Description","SXQ827.Count","SXQ827.Cumulative","SXQ827.Skip.to.Item"
"0 to 80","Range of Values",1479,1479,NA
"100","100 or more",1,1480,NA
"77777","Refused",2,1482,NA
"99999","Don't know",1,1483,NA
".","Missing",3360,4843,NA
