"LEDANKCF.Code.or.Value","LEDANKCF.Value.Description","LEDANKCF.Count","LEDANKCF.Cumulative","LEDANKCF.Skip.to.Item"
"1","9 cm",20,20,NA
"2","10 cm",1892,1912,NA
"3","12 cm",210,2122,NA
"4","15 cm",429,2551,NA
"5","18 cm",91,2642,NA
"8","Could not obtain",0,2642,NA
".","Missing",233,2875,NA
