"AUXTPVR.Code.or.Value","AUXTPVR.Value.Description","AUXTPVR.Count","AUXTPVR.Cumulative","AUXTPVR.Skip.to.Item"
"0.2 to 6.2","Range of Values",2146,2146,NA
"777","Refused",1,2147,NA
"888","Could not obtain",57,2204,NA
".","Missing",164,2368,NA
