"FSQ695.Code.or.Value","FSQ695.Value.Description","FSQ695.Count","FSQ695.Cumulative","FSQ695.Skip.to.Item"
"1 to 9","Range of Values",800,800,NA
"77","Refused",1,801,NA
"99","Don't know",30,831,NA
".","Missing",9140,9971,NA
