"DR2TSODI.Code.or.Value","DR2TSODI.Value.Description","DR2TSODI.Count","DR2TSODI.Cumulative","DR2TSODI.Skip.to.Item"
"0 to 14437","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
