"DS2TCALC.Code.or.Value","DS2TCALC.Value.Description","DS2TCALC.Count","DS2TCALC.Cumulative","DS2TCALC.Skip.to.Item"
"0.1 to 2650","Range of Values",1302,1302,NA
".","Missing",8242,9544,NA
