"DXXIAX.Code.or.Value","DXXIAX.Value.Description","DXXIAX.Count","DXXIAX.Cumulative","DXXIAX.Skip.to.Item"
"663.2 to 1197.5","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
