"DXXL2A.Code.or.Value","DXXL2A.Value.Description","DXXL2A.Count","DXXL2A.Cumulative","DXXL2A.Skip.to.Item"
"6.59 to 22.54","Range of Values",6426,6426,NA
".","Missing",1308,7734,NA
