"DR2IM221.Code.or.Value","DR2IM221.Value.Description","DR2IM221.Count","DR2IM221.Cumulative","DR2IM221.Skip.to.Item"
"0 to 1.565","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
