"DXXANFM.Code.or.Value","DXXANFM.Value.Description","DXXANFM.Count","DXXANFM.Cumulative","DXXANFM.Skip.to.Item"
"158.8 to 10155.1","Range of Values",5425,5425,NA
".","Missing",608,6033,NA
