"DR2TCHL.Code.or.Value","DR2TCHL.Value.Description","DR2TCHL.Count","DR2TCHL.Cumulative","DR2TCHL.Skip.to.Item"
"0 to 1665","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
