"DR2TM161.Code.or.Value","DR2TM161.Value.Description","DR2TM161.Count","DR2TM161.Cumulative","DR2TM161.Skip.to.Item"
"0 to 13.764","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
