"AUDTYR64.Code.or.Value","AUDTYR64.Value.Description","AUDTYR64.Count","AUDTYR64.Cumulative","AUDTYR64.Skip.to.Item"
"0 to 1.25","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
