"LBC206LA.Code.or.Value","LBC206LA.Value.Description","LBC206LA.Count","LBC206LA.Cumulative","LBC206LA.Skip.to.Item"
"0.15 to 32.52","Range of Values",247,247,NA
".","Missing",0,247,NA
