"DS1IPROT.Code.or.Value","DS1IPROT.Value.Description","DS1IPROT.Count","DS1IPROT.Cumulative","DS1IPROT.Skip.to.Item"
"0.08 to 30","Range of Values",137,137,NA
".","Missing",5233,5370,NA
