"SMD450.Code.or.Value","SMD450.Value.Description","SMD450.Count","SMD450.Cumulative","SMD450.Skip.to.Item"
"1 to 2","Range of Values",118,118,NA
"3","3 or More",38,156,NA
".","Missing",9809,9965,NA
