"TYXA164.Code.or.Value","TYXA164.Value.Description","TYXA164.Count","TYXA164.Cumulative","TYXA164.Skip.to.Item"
"0.09 to 6.375","Range of Values",2083,2083,NA
".","Missing",3502,5585,NA
