"DR2IALCO.Code.or.Value","DR2IALCO.Value.Description","DR2IALCO.Count","DR2IALCO.Cumulative","DR2IALCO.Skip.to.Item"
"0 to 645.1","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
