"LBXF10.Code.or.Value","LBXF10.Value.Description","LBXF10.Count","LBXF10.Cumulative","LBXF10.Skip.to.Item"
"17.39 to 162.49","Range of Values",1202,1202,NA
".","Missing",1345,2547,NA
