"MPQ120a.Code.or.Value","MPQ120a.Value.Description","MPQ120a.Count","MPQ120a.Cumulative","MPQ120a.Skip.to.Item"
"10","Head",285,285,NA
"77","Refused",0,285,NA
"99","Don't know",5,290,NA
".","Missing",5121,5411,NA
