"AUXRR178.Code.or.Value","AUXRR178.Value.Description","AUXRR178.Count","AUXRR178.Cumulative","AUXRR178.Skip.to.Item"
"-9 to 44","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
