"WTSPO34.Code.or.Value","WTSPO34.Value.Description","WTSPO34.Count","WTSPO34.Cumulative","WTSPO34.Skip.to.Item"
"0.0000000 to 852647.7999200","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
