"DRXMC.Code.or.Value","DRXMC.Value.Description","DRXMC.Count","DRXMC.Cumulative","DRXMC.Skip.to.Item"
"100000 to 206992","Range of Values",1549,1549,NA
".","Missing",0,1549,NA
