"RDQ070.Code.or.Value","RDQ070.Value.Description","RDQ070.Count","RDQ070.Cumulative","RDQ070.Skip.to.Item"
"1","Yes",1218,1218,""
"2","No",8140,9358,"RDQ140"
"7","Refused",1,9359,"RDQ140"
"9","Don't know",4,9363,"RDQ140"
".","Missing",1,9364,""
