"SPQ080.Code.or.Value","SPQ080.Value.Description","SPQ080.Count","SPQ080.Cumulative","SPQ080.Skip.to.Item"
"1","Yes",6,6,"SPAENA"
"2","No",89,95,""
"7","Refused",0,95,"SPAENA"
"9","Don't know",0,95,"SPAENA"
".","Missing",7400,7495,""
