"PFQ059.Code.or.Value","PFQ059.Value.Description","PFQ059.Count","PFQ059.Cumulative","PFQ059.Skip.to.Item"
"1","Yes",108,108,NA
"2","No",4244,4352,NA
"7","Refused",0,4352,NA
"9","Don't know",1,4353,NA
".","Missing",5313,9666,NA
