"WBXP046.Code.or.Value","WBXP046.Value.Description","WBXP046.Count","WBXP046.Cumulative","WBXP046.Skip.to.Item"
"-129.5401 to 169.9017","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
