"LBXGLT.Code.or.Value","LBXGLT.Value.Description","LBXGLT.Count","LBXGLT.Cumulative","LBXGLT.Skip.to.Item"
"30 to 559","Range of Values",2574,2574,NA
".","Missing",589,3163,NA
