"CIQD088.Code.or.Value","CIQD088.Value.Description","CIQD088.Count","CIQD088.Cumulative","CIQD088.Skip.to.Item"
"1","Yes",27,27,NA
"2","No",5,32,NA
"7","Refuse",0,32,NA
"9","Don't know",0,32,NA
".","Missing",896,928,NA
