"DR1IFA.Code.or.Value","DR1IFA.Value.Description","DR1IFA.Count","DR1IFA.Cumulative","DR1IFA.Skip.to.Item"
"0 to 2176","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
