"WBXF073.Code.or.Value","WBXF073.Value.Description","WBXF073.Count","WBXF073.Cumulative","WBXF073.Skip.to.Item"
"2996.6142 to 2996.6142","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
