"HID030E.Code.or.Value","HID030E.Value.Description","HID030E.Count","HID030E.Cumulative","HID030E.Skip.to.Item"
"1","Yes",216,216,NA
"2","No",8009,8225,NA
"7","Refused",3,8228,NA
"9","Don't know",35,8263,NA
".","Missing",1859,10122,NA
