"OHD11LAM.Code.or.Value","OHD11LAM.Value.Description","OHD11LAM.Count","OHD11LAM.Cumulative","OHD11LAM.Skip.to.Item"
"0 to 12","Range of Values",2516,2516,NA
"99","Calculation cannot be determined",272,2788,NA
".","Missing",4342,7130,NA
