"DSQTPHOS.Code.or.Value","DSQTPHOS.Value.Description","DSQTPHOS.Count","DSQTPHOS.Cumulative","DSQTPHOS.Skip.to.Item"
"0.02 to 1330","Range of Values",921,921,NA
".","Missing",9254,10175,NA
