"CBD765.Code.or.Value","CBD765.Value.Description","CBD765.Count","CBD765.Cumulative","CBD765.Skip.to.Item"
"1","Less than high school",234,234,NA
"2","High school diploma (including GED)",427,661,NA
"3","More than high school",994,1655,NA
"7","Refused",0,1655,NA
"9","Don't know",1,1656,NA
".","Missing",389,2045,NA
