"DR1TB12A.Code.or.Value","DR1TB12A.Value.Description","DR1TB12A.Count","DR1TB12A.Cumulative","DR1TB12A.Skip.to.Item"
"0 to 43.69","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
