"VIXPLS.Code.or.Value","VIXPLS.Value.Description","VIXPLS.Count","VIXPLS.Cumulative","VIXPLS.Skip.to.Item"
"-14.5 to 11.5","Range of Values",1947,1947,NA
"88","Could not obtain",45,1992,NA
".","Missing",4988,6980,NA
