"OSQ010c.Code.or.Value","OSQ010c.Value.Description","OSQ010c.Count","OSQ010c.Cumulative","OSQ010c.Skip.to.Item"
"1","Yes",77,77,"OSQ020c"
"2","No",3734,3811,"OSQ025"
"7","Refused",0,3811,"OSQ025"
"9","Don't know",4,3815,"OSQ025"
".","Missing",0,3815,""
