"LBXEOPCT.Code.or.Value","LBXEOPCT.Value.Description","LBXEOPCT.Count","LBXEOPCT.Cumulative","LBXEOPCT.Skip.to.Item"
"0 to 36.6","Range of Values",8519,8519,NA
".","Missing",903,9422,NA
