"BIXS014K.Code.or.Value","BIXS014K.Value.Description","BIXS014K.Count","BIXS014K.Cumulative","BIXS014K.Skip.to.Item"
"257.2 to 1053.98","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
