"DR1TCOPP.Code.or.Value","DR1TCOPP.Value.Description","DR1TCOPP.Count","DR1TCOPP.Cumulative","DR1TCOPP.Skip.to.Item"
"0 to 37.581","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
