"DR2ITHEO.Code.or.Value","DR2ITHEO.Value.Description","DR2ITHEO.Count","DR2ITHEO.Cumulative","DR2ITHEO.Skip.to.Item"
"0 to 900","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
